"Category","Topic_Name","Quick_Summary_For_AI","Contact_Phone","Location_Address","Schedule_or_Hours","Pricing_or_Fee","Messenger_AI_Response_Template"
"Doctor","Dr. Nazma Akter (Child Specialist)","Specialist in Child Specialist (শিশু রোগ বিভাগ). Degrees: MBBS, DCH (Pediatrics). Chamber: Damurhuda Digital Hospital & Diagnostic, Room Room #104, Pediatric Section. Experience: 9 yrs. Treats: ","+880 1714-332211","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","700 ৳","Dr. Nazma Akter (Child Specialist) sits at Damurhuda Digital Hospital & Diagnostic (Room Room #104, Pediatric Section) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 700 BDT. Serial Call: +880 1714-332211"
"Doctor","Dr. Md. Babul Akhter (Bone & Joint Fracture Specialist)","Specialist in Bone & Joint Fracture Specialist (অর্থোপেডিক্স ও হাড়জোড় বিভাগ). Degrees: MBBS, D-Ortho. Chamber: Damurhuda Digital Hospital & Diagnostic, Room Room #203, Ortho Block. Experience: 13 yrs. Treats: ","+880 1815-221100","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","800 ৳","Dr. Md. Babul Akhter (Bone & Joint Fracture Specialist) sits at Damurhuda Digital Hospital & Diagnostic (Room Room #203, Ortho Block) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 800 BDT. Serial Call: +880 1815-221100"
"Doctor","Dr. Fahmida Rahman (Skin & Allergy Specialist)","Specialist in Skin & Allergy Specialist (চর্ম ও এলার্জি বিভাগ). Degrees: MBBS, DDV (Dermatology). Chamber: Damurhuda Digital Hospital & Diagnostic, Room Room #106, Outdoor Clinic. Experience: 10 yrs. Treats: ","+880 1916-110099","Damurhuda Digital Hospital & Diagnostic, Chuadanga","Available Days: শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার | Visiting Hours: Saturday: 16:00 - 20:00 | Sunday: 16:00 - 20:00 | Monday: 16:00 - 20:00 | Tuesday: 16:00 - 20:00 | Wednesday: 16:00 - 20:00 | Thursday: 16:00 - 20:00","700 ৳","Dr. Fahmida Rahman (Skin & Allergy Specialist) sits at Damurhuda Digital Hospital & Diagnostic (Room Room #106, Outdoor Clinic) on শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার. Fee: 700 BDT. Serial Call: +880 1916-110099"
"Hospital / Clinic","Evercare Hospital Chuadanga","Type: Super Specialty Hospital. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber. Total Departments: 6. Description: Evercare Hospital Chuadanga is a 470-bed multi-disciplinary super-specialty tertiary care hospital in Chuadanga District featuring state-of-the-art emergency care, 24/7 ICU support, advanced cath lab, and international standard surgical suites.","Phone: +880 761-62588 | Emergency: 10663","Station Road, Chuadanga Sadar, Chuadanga, Chuadanga","24/7 Emergency & OPD Services","Hospital Service / Test Rates","Evercare Hospital Chuadanga is located at Station Road, Chuadanga Sadar, Chuadanga. Phone: +880 761-62588, Emergency: 10663. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber"
"Hospital / Clinic","Chuadanga Medical Center","Type: Private Hospital. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber. Total Departments: 6. Description: Chuadanga Medical Center is one of the premier private hospitals in Chuadanga Sadar, offering expert specialist outdoor chambers, 24/7 diagnostic labs, maternity care, and emergency cardiac support.","Phone: +880 761-63105 | Emergency: +880 761-63106","Court Road, Chuadanga Sadar, Chuadanga, Chuadanga","24/7 Emergency & OPD Services","Hospital Service / Test Rates","Chuadanga Medical Center is located at Court Road, Chuadanga Sadar, Chuadanga. Phone: +880 761-63105, Emergency: +880 761-63106. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber"
"Hospital / Clinic","Chuadanga Specialized Hospital","Type: Private Hospital. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber. Total Departments: 6. Description: Chuadanga Specialized Hospital provides comprehensive outdoor doctor chambers, general surgery, pediatric care, and emergency ambulance services across Chuadanga District.","Phone: +880 761-62201 | Emergency: +880 761-62202","Hospital Road, Chuadanga Sadar, Chuadanga, Chuadanga","24/7 Emergency & OPD Services","Hospital Service / Test Rates","Chuadanga Specialized Hospital is located at Hospital Road, Chuadanga Sadar, Chuadanga. Phone: +880 761-62201, Emergency: +880 761-62202. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber"
"Hospital / Clinic","Alamdanga Health Care Clinic","Type: Clinic. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber. Total Departments: 6. Description: Alamdanga Health Care Clinic offers expert doctor consultation, digital X-Ray, diagnostic pathology, and 24-hour emergency care for Alamdanga Upazila residents.","Phone: +880 7622-56120 | Emergency: +880 7622-56121","Station Para, Alamdanga, Chuadanga, Chuadanga","24/7 Emergency & OPD Services","Hospital Service / Test Rates","Alamdanga Health Care Clinic is located at Station Para, Alamdanga, Chuadanga. Phone: +880 7622-56120, Emergency: +880 7622-56121. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber"
"Hospital / Clinic","Damurhuda Digital Hospital & Diagnostic","Type: Diagnostic Center. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber. Total Departments: 6. Description: Modern diagnostic center & specialized consultation hospital serving Damurhuda and Darshana border areas with advanced ultrasonography and outdoor chambers.","Phone: +880 7623-44109 | Emergency: +880 7623-44110","Munshiganj Bazar, Damurhuda, Chuadanga, Chuadanga","24/7 Emergency & OPD Services","Hospital Service / Test Rates","Damurhuda Digital Hospital & Diagnostic is located at Munshiganj Bazar, Damurhuda, Chuadanga. Phone: +880 7623-44109, Emergency: +880 7623-44110. Facilities: 24 Hours Pharmacy, 24/7 Emergency & Trauma Center, Digital Radiology & MRI, ICU & CCU Intensive Support, Outdoor Specialist Chamber"
"Emergency Helpline / Ambulance","চুয়াডাঙ্গা সদর হাসপাতাল জরুরি বিভাগ","২৪ ঘণ্টা জরুরি চিকিৎসা ও অ্যাম্বুলেন্স সেবা (Badge: 24/7 Emergency)","01711000000","Chuadanga / Bangladesh","24/7 Available",,"For চুয়াডাঙ্গা সদর হাসপাতাল জরুরি বিভাগ, immediately call: 01711000000 (Available 24/7)."
"Emergency Helpline / Ambulance","জাতীয় জরুরি সেবা","পুলিশ, ফায়ার সার্ভিস ও অ্যাম্বুলেন্স সেবা (Badge: National Helpline)","999","Chuadanga / Bangladesh","24/7 Available",,"For জাতীয় জরুরি সেবা, immediately call: 999 (Available 24/7)."
"Emergency Helpline / Ambulance","চুয়াডাঙ্গা ফায়ার সার্ভিস ও সিভিল ডিফেন্স","জরুরি আগুন ও উদ্ধার সেবা (Badge: Fire & Rescue)","01730000000","Chuadanga / Bangladesh","24/7 Available",,"For চুয়াডাঙ্গা ফায়ার সার্ভিস ও সিভিল ডিফেন্স, immediately call: 01730000000 (Available 24/7)."
"Blood Donor","Anik Chowdhury (B-)","Blood Group: B-, Age: 24, Area: Alamdanga, Address: Alamdanga Railway Station, Status: available","01777889900","Alamdanga, Alamdanga Railway Station","Available for donation","Free (Voluntary Donation)","Blood Donor: Anik Chowdhury (B-) in Alamdanga. Phone: 01777889900. Status: available."
"Blood Donor","Mehedi Hasan Babu (A-)","Blood Group: A-, Age: 27, Area: Chuadanga Sadar, Address: Vatala, Chuadanga Sadar, Status: unavailable","01666778899","Chuadanga Sadar, Vatala, Chuadanga Sadar","Unavailable","Free (Voluntary Donation)","Blood Donor: Mehedi Hasan Babu (A-) in Chuadanga Sadar. Phone: 01666778899. Status: unavailable."
"Blood Donor","Sharmin Akter (O-)","Blood Group: O-, Age: 25, Area: Chuadanga Sadar, Address: Hospital Road, Chuadanga Sadar, Status: available","01855667788","Chuadanga Sadar, Hospital Road, Chuadanga Sadar","Available for donation","Free (Voluntary Donation)","Blood Donor: Sharmin Akter (O-) in Chuadanga Sadar. Phone: 01855667788. Status: available."
"Blood Donor","Kazi Mahfuzur Rahman (AB+)","Blood Group: AB+, Age: 32, Area: Jibannagar, Address: Bus Stand Area, Jibannagar, Status: available","01744556677","Jibannagar, Bus Stand Area, Jibannagar","Available for donation","Free (Voluntary Donation)","Blood Donor: Kazi Mahfuzur Rahman (AB+) in Jibannagar. Phone: 01744556677. Status: available."
"Blood Donor","Tanvir Ahmed Shuvo (B+)","Blood Group: B+, Age: 29, Area: Damurhuda, Address: Munshiganj Bazar, Damurhuda, Status: available","01933445566","Damurhuda, Munshiganj Bazar, Damurhuda","Available for donation","Free (Voluntary Donation)","Blood Donor: Tanvir Ahmed Shuvo (B+) in Damurhuda. Phone: 01933445566. Status: available."
"Blood Donor","Sabrina Yeasmin (A+)","Blood Group: A+, Age: 23, Area: Alamdanga, Address: Station Para, Alamdanga, Status: available","01822334455","Alamdanga, Station Para, Alamdanga","Available for donation","Free (Voluntary Donation)","Blood Donor: Sabrina Yeasmin (A+) in Alamdanga. Phone: 01822334455. Status: available."
"Blood Donor","Md. Rakibul Hasan (O+)","Blood Group: O+, Age: 26, Area: Chuadanga Sadar, Address: Court Road, Chuadanga Sadar, Status: available","01711223344","Chuadanga Sadar, Court Road, Chuadanga Sadar","Available for donation","Free (Voluntary Donation)","Blood Donor: Md. Rakibul Hasan (O+) in Chuadanga Sadar. Phone: 01711223344. Status: available."
